City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,924900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1274900.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,935000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,655000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,569900.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,625000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,639900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1124900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3088000.0,4.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2150000.0,6.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,999800.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,999000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,549000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,639000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1150000.0,7.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1895000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3679000.0,6.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,669990.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1300000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,859000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,669000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1599900.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,829900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1995000.0,5.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1075000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2499900.0,5.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2649999.0,5.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1350000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1249900.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,709000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,889000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,619900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1349888.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799990.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,979000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,4499000.0,6.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,635000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,949888.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,765000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499999.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1849000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,560000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,770000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499999.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849900.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1649000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1688000.0,5.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1450000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1200000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,949000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099000.0,8.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1980000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1495000.0,2.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,698888.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,5678000.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,438000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,559000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2099800.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,770000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2695000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2295000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,870000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,966000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1399999.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499999.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,819000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,3.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499900.0,5.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,580000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,825000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1299800.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,615000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
