City,Number_Beds,Number_Baths,Latitude,Longitude,Bath_Bed_Ratio,Log_Income,Log_Population,Province_Code,Log_Price
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.566922267533435
Toronto,3.0,1.0,43.7417,-79.3733,0.25,11.48247656671073,15.54675132684935,6,13.592367006650065
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.592243248992402
Toronto,4.0,2.0,43.7417,-79.3733,0.4,11.48247656671073,15.54675132684935,6,13.997832948091215
Toronto,1.0,1.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.413241835966822
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.214032390746006
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.414885219255359
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.457407451830088
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.79326597151132
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.772604100793789
Toronto,2.0,3.0,43.7417,-79.3733,1.0,11.48247656671073,15.54675132684935,6,14.456838516387228
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.23551526136861
Toronto,1.0,1.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.119962497597557
Toronto,4.0,2.0,43.7417,-79.3733,0.4,11.48247656671073,15.54675132684935,6,14.187074804051692
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.384729180332174
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.521140839642674
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.573312874161743
Toronto,4.0,2.0,43.7417,-79.3733,0.4,11.48247656671073,15.54675132684935,6,13.813509557297108
Toronto,4.0,2.0,43.7417,-79.3733,0.4,11.48247656671073,15.54675132684935,6,13.80536021711044
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.909912143303451
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.038766527911386
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.28787951079572
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.710040036256004
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.279368835614243
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.70903942580019
Toronto,1.0,1.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.098072734013513
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.384729180332174
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.118357364036902
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.12216535779974
Toronto,3.0,3.0,43.7417,-79.3733,0.75,11.48247656671073,15.54675132684935,6,14.282384921160133
Toronto,1.0,1.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.484226240787052
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,14.115615891155079
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.81451105863119
Toronto,2.0,1.0,43.7417,-79.3733,0.3333333333333333,11.48247656671073,15.54675132684935,6,13.615840583835682
Toronto,1.0,1.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.367661298303675
Toronto,3.0,2.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.592243248992402
Toronto,2.0,2.0,43.7417,-79.3733,0.6666666666666666,11.48247656671073,15.54675132684935,6,13.579662900134744
Toronto,1.0,1.0,43.7417,-79.3733,0.5,11.48247656671073,15.54675132684935,6,13.217493541006709
Toronto,3.0,1.0,43.7417,-79.3733,0.25,11.48247656671073,15.54675132684935,6,13.955186409677216
Toronto,4.0,3.0,43.7417,-79.3733,0.6,11.48247656671073,15.54675132684935,6,14.808725663635652
Toronto,6.0,3.0,43.7417,-79.3733,0.42857142857142855,11.48247656671073,15.54675132684935,6,14.07710606547538
Toronto,4.0,2.0,43.7417,-79.3733,0.4,11.48247656671073,15.54675132684935,6,14.277986550511942
