City,Price,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,699000.0,#901 -60 QUEEN ST E,0,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,39 BETHNAL AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,549900.0,#1901 -2121 LAKESHORE BLVD W,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,#809 -30 SAMUEL WOOD WAY,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099900.0,#803 -57 MACAULAY AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499999.0,#1201 -15 WINDERMERE AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,650000.0,#246 -60 PARROTTA DR,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099000.0,11A MORTIMER AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,819000.0,#2 -88 MUNRO ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,2100 GERRARD ST E,3,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499900.0,42 HARRIS AVE,5,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849000.0,15 MORTON RD,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,580000.0,#604 -55 REGENT PARK BLVD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,825000.0,#2509 -185 ROEHAMPTON AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1299800.0,#1808 -15 MERCER ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,615000.0,#303 -11 CHARLOTTE ST,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599000.0,#2009 -24 WELLESLEY ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1095000.0,#PH22 -500 RICHMOND ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,#610 -300 FRONT ST W,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,8478000.0,#3403 -200 CUMBERLAND ST,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,585000.0,#315 -55 EAST LIBERTY ST,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2550000.0,#3802 -183 WELLINGTON ST W,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1495000.0,374 ELM RD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1300000.0,#603 -225 DAVENPORT RD,2,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2095000.0,210 MACPHERSON AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,595500.0,#1019 -98 LILLIAN ST,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,819800.0,#3008 -37 GROSVENOR ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,755000.0,#1616 -230 QUEENS QUAY W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,918000.0,#403 -240 SCARLETT RD,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749000.0,#1414 -103 THE QUEENSWAY AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2488888.0,#1102 -1135 ROYAL YORK RD,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1199000.0,74 SAMBA DR,5,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,448800.0,#115 -320 DIXON RD,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,788000.0,882 WESTON RD,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,697000.0,#504 -760 THE QUEENSWAY,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,709000.0,#B-102 -60 ANNIE CRAIG DR,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899900.0,409 MCROBERTS AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1850000.0,1 ROWAN AVE,5,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1549000.0,79 KIMBERLEY AVE,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,569000.0,#414 -1630 QUEEN ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1039000.0,45 DEVON RD,3,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1799000.0,38 WHITE PINE AVE,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,4 BATTENBERG AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599000.0,#3901 -21 ICEBOAT TERR,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,738000.0,#3601 -33 CHARLES ST E,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,619990.0,#108 -170 SUDBURY ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1150000.0,922 PALMERSTON AVE N,3,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3495000.0,110 CARMICHAEL AVE,5,6,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2588168.0,734 RICHMOND ST W,4,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1699000.0,82 LANARK AVE,5,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1699000.0,80 LANARK AVE,5,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,#PH05 -205 FREDERICK ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799999.0,#1202 -100 HARBOUR ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2449000.0,107 ELM RIDGE DR,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699000.0,#4508 -21 ICEBOAT TERR,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1139900.0,#203 -50 JOE SHUSTER WAY,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1199000.0,36 MONTANA AVE,6,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,719000.0,#416 -437 RONCESVALLES AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
